interval	assumed	real	estimated
0.0	0	0	0
0.05	0	0	0
0.1	0	0	0
0.15	0	0	0
0.2	0	0	0
0.25	0	0	0
0.3	0	0	0
0.35	0	0	1
0.4	0	0	2
0.45	0	0	2
0.5	0	0	4
0.55	0	0	2
0.6	2	1	3
0.65	0	2	1
0.7	5	3	1
0.75	3	2	3
0.8	1	3	1
0.85	4	4	0
0.9	3	3	0
0.95	2	2	0
