interval	assumed	real	estimated
0.3	0	0	0
0.37	0	0	1
0.44	0	0	0
0.51	0	1	0
0.58	0	0	0
0.65	1	0	1
0.72	1	0	0
0.79	0	1	1
0.86	0	0	2
0.93	2	1	0
1.0	1	2	0
